MR-ID,images-src,product_name,price,sold-status
"MR10610","http://www.metroretrofurniture.com/images/lamp/abj01beigelamp01_t.jpg","Large Vintage Octagonal 1960s Ceramic Table Lamp","300","SOLD"
"MR10705","http://www.metroretrofurniture.com/images/cabinet/abj18drugcabinet02_t.jpg","Vintage Metal Medical Display Cabinet","2900","null"
"MR10920","http://www.metroretrofurniture.com/images/chairIII/abd64orangesaarinenchairs06_t.jpg","(6) Saarinen Style Office Dining Arm Side Chairs","1495","SOLD"
"MR10319","http://www.metroretrofurniture.com/images/Pedestals/abc60parchmentcubes01_t.jpg","Parchment Coffee Table and Pedestals Set","null","null"
"MR10679","http://www.metroretrofurniture.com/images/georgenelson/abj62and63georgenelsondeskandcredenza09_t.jpg","Vintage George Nelson Herman Miller Walnut Credenza and Desk Set SOLD","7500","SOLD"
"MR10612","http://www.metroretrofurniture.com/images/cabinet/abh09wood2drawerfilecabinet04_t.jpg","Mid-Century 2 Drawer Walnut File Cabinet","395","SOLD"
"MR10287","http://www.metroretrofurniture.com/images/tablesII/abd86gametableitalianmarquetry09_t.jpg","Italian Style Marquetry Game Table & Chairs Set","2700","null"
"MR10231","http://www.metroretrofurniture.com/images/lounge/abc14floralpaternchairs03_t.jpg","(2) Vintage Billy Haines Style Slipper Lounge Chairs","null","SOLD"
"MR10912","http://www.metroretrofurniture.com/images/cabinet/abk69oakcardcabinet05_t.jpg","Vintage 90 Drawer Wooden Card File Cabinet","1500","null"
"MR10432","http://www.metroretrofurniture.com/images/heywood/abg38cabinet01_t.jpg","Art Deco Heywood Wakefield Airflow Buffet C3318 Wheat PRICE REDUCED","5200","SOLD"
"MR10797","http://www.metroretrofurniture.com/images/Bar/abl63wooddrybar04_t.jpg","Vintage Beaver and Tapley Multi-Width Dry Bar","1095","null"
"MR10474","http://www.metroretrofurniture.com/images/desk/abg22and28blacknteakdeskandchair01_t.jpg","Vintage Danish Secretarial Desk and Chair PRICE REDUCED","695","SOLD"
"MR10344","http://www.metroretrofurniture.com/images/children/abe14thonetchairsandtable04_t.jpg","Vintage Thonet Children Plywood (4) Chairs & Table","695","SOLD"
"MR10273","http://www.metroretrofurniture.com/images/knoll2/aau21knollearlyedition06_t.jpg","Early Edition Florence Knoll Horsehair Sofa Couch HOLD","9500","SOLD"
"MR10826","http://www.metroretrofurniture.com/images/hermanmiller2/abm09hmaluminimgroupchairs08_t.jpg","(4) Vintage Herman Miller Eames Aluminum Group Chairs","2800","null"
"MR10900","http://www.metroretrofurniture.com/images/heywood/abm27hwtalldresser05_t.jpg","Heywood Wakefield Trophy Suite Mr. & Mrs. Tall Dresser SOLD","1695","SOLD"
"MR10578","http://www.metroretrofurniture.com/images/sidetable/abi56glassendtablesolidbronzebasr02_t.jpg","Solid Bronze Side End Table Jacques Quinet Style","700","null"
"MR10027","http://www.metroretrofurniture.com/images/rugs/aaq93lightbeigerug03_t.jpg","7ft x 10ft Turkish Yenkoy Hand Knotted Wool Rug 70% OFF","1995","SOLD"
"MR10574","http://www.metroretrofurniture.com/images/credenza/abg58dunbarcredenza03_t.jpg","80"" Dunbar Walnut Credenza Brass Pulls","3360","null"
"MR10750","http://www.metroretrofurniture.com/images/dresser/abk54vintagedixietallwoodchest07_t.jpg","41"" Vintage Dixie 5 Drawer Chest Tall Dresser PRICE REDUCED","475","SOLD"
"MR10111","http://www.metroretrofurniture.com/images/coffeetable/aay50coffeetable02_t.jpg","36"" Square Memphis Style Ebonized Coffee Table","1520","null"
"MR10786","http://www.metroretrofurniture.com/images/thonet/abl29chromevinylbarstools04_t.jpg","30"" Vintage Thonet Bar Stool SOLD","600","SOLD"
"MR10995","http://www.metroretrofurniture.com/images/chairIII/abm100highbackchair_t.jpg","Pair of Charles Rennie Mackintosh Hillhouse Chairs","2900","SOLD"
"MR10941","http://www.metroretrofurniture.com/images/sculpture/am26bronzebirds02_t.jpg","Vintage Mid Century Modern Curtis Jere Brass Bird Wall Sculpture","1100","SOLD"
"MR10844","http://www.metroretrofurniture.com/images/Pedestals/abk73tallcylinderpedestal03_t.jpg","22"" Tall Vintage Chrome Pedestal Side Table","395","SOLD"
"MR10919","http://www.metroretrofurniture.com/images/hermanmiller2/abm11hmtaskchair01_t.jpg","Vintage Herman Miller Task Chair","149","null"
